,code,industry,price,pe-ratio,price-fcf,price-book,price-sales
385,PWR,Industrials,81.13,29.94,9.31,2.71,1.04
386,QCOM,Information Technology,141.10,37.83,18.68,21.72,6.08
387,DGX,Health Care,115.74,18.58,11.41,2.42,1.67
388,RL,Consumer Discretionary,119.88,0.0,45.21,3.26,2.05
389,RJF,Financials,122.65,19.91,3.24,2.27,2.05
390,RTX,Industrials,77.67,0.0,41.54,1.6,1.64
391,O,Real Estate,62.37,51.55,0.0,2.08,12.83
392,REG,Real Estate,56.30,216.54,31.64,1.57,9.38
393,REGN,Health Care,458.60,14.95,26.35,4.45,6.23
394,RF,Financials,22.21,54.17,8.08,1.19,3.21
395,RSG,Industrials,89.59,28.08,21.72,3.41,2.83
396,RMD,Health Care,200.97,41.96,37.22,10.21,9.49
397,RHI,Industrials,82.15,30.31,16.53,7.71,1.82
398,ROK,Industrials,247.04,40.43,25.15,15.32,4.64
399,ROL,Industrials,35.46,88.65,45.69,18.69,8.07
400,ROP,Industrials,378.82,57.66,29.16,3.91,7.24
401,ROST,Consumer Discretionary,123.61,147.15,21.55,14.59,3.47
402,RCL,Consumer Discretionary,96.66,0.0,0.0,2.49,4.32
403,SPGI,Financials,331.79,42.65,23.01,140.04,10.8
404,CRM,Information Technology,240.47,62.79,59.44,5.45,10.74
405,SBAC,Real Estate,250.51,0.0,28.19,0.0,13.79
406,SLB,Energy,29.41,0.0,22.36,3.28,1.73
407,STX,Information Technology,74.34,19.36,18.55,18.02,1.9
408,SEE,Materials,43.21,18.63,13.17,273.65,1.37
409,SRE,Utilities,122.57,9.5,0.0,1.42,3.25
410,NOW,Information Technology,551.83,951.43,81.72,38.13,24.6
411,SHW,Materials,682.03,38.75,21.51,14.72,3.42
412,SPG,Real Estate,119.00,43.43,21.01,18.92,7.97
413,SWKS,Information Technology,190.36,30.03,35.8,7.11,8.09
414,SLG,Real Estate,71.26,28.85,16.2,0.89,5.23
415,SNA,Industrials,206.82,18.08,12.0,2.91,3.16
416,SO,Utilities,58.38,22.63,0.0,1.88,5.85
417,LUV,Industrials,59.29,0.0,0.0,3.94,3.57
418,SWK,Industrials,174.98,22.67,16.1,2.8,1.87
419,SBUX,Consumer Discretionary,104.38,3479.33,637.63,0.0,5.31
420,STT,Financials,76.82,15.58,49.67,1.06,2.27
421,STE,Health Care,173.11,34.42,31.0,3.81,4.86
422,SYK,Health Care,248.82,59.24,33.92,7.15,6.57
423,SIVB,Financials,540.13,34.98,20.08,3.51,6.9
424,SYF,Financials,40.22,17.72,3.17,1.85,1.45
425,SNPS,Information Technology,260.68,72.61,48.75,8.1,10.63
426,SYY,Consumer Staples,80.98,0.0,30.9,28.95,0.9
427,TMUS,Communication Services,119.38,54.51,0.0,2.3,2.03
428,TROW,Financials,166.23,16.59,22.55,4.92,6.2
429,TTWO,Communication Services,186.99,69.26,23.24,6.82,6.54
430,TPR,Consumer Discretionary,41.69,0.0,24.53,4.01,2.5
431,TGT,Consumer Discretionary,187.08,24.78,12.81,7.03,1.07
432,TEL,Information Technology,130.72,0.0,25.32,4.39,3.47
433,FTI,Energy,7.59,0.0,9.7,0.81,0.26
434,TDY,Industrials,390.82,54.81,31.01,4.76,4.79
