MKTX,Financials,1.48,3.15,2.12,6.26,114.76
IVZ,Financials,0.53,0.33,0.07,0.35,111.49
MMC,Financials,0.59,0.74,0.62,0.72,111.34
LNC,Financials,0.54,0.7,0.05,0.13,111.25
KEY,Financials,0.47,0.4,0.1,0.55,110.81
JPM,Financials,0.47,0.51,0.15,0.73,110.7
MTB,Financials,0.38,0.63,0.11,0.63,109.86
MPC,Energy,0.0,0.0,0.11,0.09,109.6
MET,Financials,0.16,0.15,0.06,0.15,108.67
L,Financials,0.0,0.41,0.06,0.22,107.08
MRO,Energy,0.0,3.37,0.06,0.44,103.48
KMI,Energy,4.84,0.29,0.1,0.59,85.48
OTIS,Industrials,nan,nan,0.0,nan,nan
SEE,Materials,0.3,0.44,25.23,0.29,305.06
NOW,Information Technology,15.93,2.8,3.6,5.28,279.9
SBUX,Consumer Discretionary,55.78,20.9,0.0,1.1,273.54
TSLA,Consumer Discretionary,20.2,10.05,2.97,5.41,211.2
TTWO,Communication Services,1.17,0.8,0.65,1.4,187.08
TMUS,Communication Services,0.89,0.0,0.21,0.42,183.55
SHW,Materials,0.67,0.75,1.43,0.74,177.37
ROST,Consumer Discretionary,2.29,0.69,1.28,0.69,173.43
ULTA,Consumer Discretionary,1.32,0.98,0.89,0.6,170.93
TGT,Consumer Discretionary,0.41,0.43,0.65,0.22,168.82
RCL,Consumer Discretionary,0.0,0.0,0.19,0.72,168.19
PHM,Consumer Discretionary,0.14,0.24,0.17,0.23,167.98
TPR,Consumer Discretionary,0.0,0.77,0.35,0.49,167.8
PVH,Consumer Discretionary,0.0,0.31,0.13,0.18,167.58
RL,Consumer Discretionary,0.0,1.42,0.28,0.4,167.4
RTX,Industrials,0.0,1.31,0.14,0.32,161.67
LUV,Industrials,0.0,0.0,0.32,0.65,161.2
REGN,Health Care,0.25,0.89,0.42,1.31,159.08
RMD,Health Care,0.68,1.23,0.93,1.95,159.07
DGX,Health Care,0.31,0.39,0.23,0.35,158.79
STE,Health Care,0.58,1.06,0.36,1.03,158.68
TMO,Health Care,0.8,1.11,0.54,1.22,158.63
SYK,Health Care,0.93,1.09,0.64,1.32,158.6
SNA,Industrials,0.28,0.37,0.25,0.61,158.56
TFX,Health Care,0.81,2.0,0.51,1.51,158.45
RSG,Industrials,0.46,0.73,0.31,0.59,156.89
RHI,Industrials,0.47,0.52,0.67,0.36,156.74
PWR,Industrials,0.46,0.29,0.24,0.2,156.48
QRVO,Information Technology,1.19,0.72,0.41,1.16,156.42
ROK,Industrials,0.66,0.84,1.4,0.96,155.48
SWK,Industrials,0.59,0.55,0.25,0.39,155.43
SNPS,Information Technology,1.02,1.66,0.76,2.32,153.78
CRM,Information Technology,1.04,2.02,0.51,2.26,153.37
TDY,Industrials,0.92,1.07,0.45,1.02,152.59
ROP,Industrials,0.96,0.99,0.37,1.53,152.34
QCOM,Information Technology,0.63,0.63,2.04,1.28,152.1
TER,Information Technology,0.71,1.35,1.08,1.72,151.63
TXN,Information Technology,0.48,1.0,1.63,2.37,150.42
SWKS,Information Technology,0.49,1.2,0.66,1.68,149.87
STX,Information Technology,0.31,0.6,1.62,0.38,149.18
ROL,Industrials,1.45,1.53,1.72,1.68,148.19
TEL,Information Technology,0.0,0.85,0.41,0.72,146.02
SYY,Consumer Staples,0.0,0.97,2.5,0.18,144.48
REG,Real Estate,28.49,1.02,0.13,1.81,137.08
O,Real Estate,0.82,0.0,0.19,2.58,135.69
PLD,Real Estate,0.84,1.56,0.2,3.67,135.68
PSA,Real Estate,0.59,0.82,0.44,2.93,135.67
SPG,Real Estate,0.65,0.64,1.59,1.51,135.67
SBAC,Real Estate,0.0,0.98,0.0,2.96,135.61
SLG,Real Estate,0.41,0.47,0.07,0.94,135.54
TXT,Industrials,2.57,0.55,0.18,0.21,135.26
SO,Utilities,0.32,0.0,0.18,0.83,119.77
SRE,Utilities,0.16,0.0,0.13,0.68,119.74
PEG,Utilities,0.25,3.11,0.17,0.62,118.85
RF,Financials,0.8,0.25,0.1,0.6,113.71
SLB,Energy,0.0,0.66,0.27,0.32,111.98
SIVB,Financials,0.57,0.66,0.32,1.42,111.13
RJF,Financials,0.31,0.1,0.2,0.41,109.81
SYF,Financials,0.27,0.1,0.16,0.28,109.54
SPGI,Financials,0.71,0.78,13.06,2.27,108.82
TROW,Financials,0.26,0.73,0.44,1.25,108.59
STT,Financials,0.24,1.54,0.09,0.44,107.94
FTI,Energy,0.0,0.31,0.07,0.05,107.83
PRU,Financials,0.0,0.07,0.05,0.12,107.41
VNT,Information Technology,nan,nan,nan,nan,nan
VMC,Materials,0.75,0.92,0.33,0.93,173.37
TJX,Consumer Discretionary,1.83,0.47,1.33,0.51,172.47
CMG,Consumer Discretionary,1.91,4.77,1.86,1.44,171.97
BKNG,Consumer Discretionary,1.12,2.36,1.74,2.22,171.91
HAS,Consumer Discretionary,1.71,0.64,0.4,0.46,171.39
PPG,Materials,0.67,0.67,0.54,0.48,170.67
POOL,Consumer Discretionary,0.7,1.05,2.03,0.69,170.62
YUM,Consumer Discretionary,0.91,0.98,0.0,1.17,169.86
BWA,Consumer Discretionary,1.02,0.52,0.2,0.19,169.64
TSCO,Consumer Discretionary,0.53,0.58,0.97,0.39,169.39
GRMN,Consumer Discretionary,0.39,1.05,0.44,1.28,169.19
MHK,Consumer Discretionary,0.75,0.29,0.14,0.26,169.19
NVR,Consumer Discretionary,0.33,0.67,0.51,0.5,168.67
BBY,Consumer Discretionary,0.29,0.21,0.68,0.14,168.62
PKG,Materials,0.61,0.59,0.36,0.39,168.57
WYNN,Consumer Discretionary,0.0,0.0,0.0,1.29,168.5
KMX,Consumer Discretionary,0.43,1.22,0.44,0.22,168.36
VFC,Consumer Discretionary,0.0,1.14,0.91,0.74,168.3
CCL,Consumer Discretionary,0.0,0.0,0.12,0.62,168.06
