code,industry,stockratio,initialPE,initialFCF,initialPB,initialPS
NVR,Consumer Discretionary,178.6176280751262,9.69,5.88,2.38,0.64
ORLY,Consumer Discretionary,154.7993461670413,19.3,197.14,2.35,1.49
OXY,Energy,144.423956991413,7.24,11.36,1.68,2.08
ODFL,Industrials,175.06982266653824,11.85,0.0,1.73,0.61
OMC,Communication Services,112.29769763456257,11.34,8.04,2.65,0.88
OKE,Energy,143.72469661531576,7.25,14.18,1.06,0.16
ORCL,Information Technology,145.20402988174982,18.86,13.81,4.61,4.53
PCAR,Industrials,91.19741376442936,11.01,12.95,2.65,0.89
PKG,Materials,118.59463583632652,11.48,10.44,2.57,0.85
PH,Industrials,97.88215483201441,11.86,11.27,2.08,0.91
PAYX,Information Technology,115.13587656785293,16.17,14.37,7.04,4.6
PNR,Industrials,128.26781417994647,8.56,6.35,0.94,0.55
PBCT,Financials,132.75626105571743,15.25,24.88,0.67,3.26
PEP,Consumer Staples,111.75118777200117,15.16,18.88,4.83,2.18
PKI,Health Care,107.29928265190769,21.3,16.62,1.75,1.64
PRGO,Health Care,151.94729875879105,35.54,38.43,3.66,2.56
PFE,Health Care,118.5133729298343,10.58,7.61,1.31,1.81
PNW,Utilities,129.10661298188398,7.87,0.0,0.68,0.73
PXD,Energy,131.06941281579455,14.98,0.0,1.8,3.08
PNC,Financials,113.02841996183899,10.67,0.0,1.08,1.72
POOL,Consumer Discretionary,134.16858296410896,11.91,13.3,3.63,0.42
PPG,Materials,119.20586917331472,10.44,11.36,2.07,0.71
PPL,Utilities,88.50509474719259,7.62,0.0,1.74,1.55
PFG,Financials,48.08205721736912,15.1,4.34,1.62,1.14
PG,Consumer Staples,114.92343455938985,14.85,12.64,2.22,2.14
PGR,Financials,124.6640002449046,7.77,5.53,1.76,0.63
PLD,Real Estate,63.89992989176332,12.54,0.0,1.32,5.62
PRU,Financials,74.48380531995784,7.94,4.68,1.15,0.82
PEG,Utilities,96.44691527033149,11.23,23.88,2.05,1.18
PSA,Real Estate,156.6379650242446,41.05,9.45,0.92,4.53
PHM,Consumer Discretionary,126.60082419913286,0.0,2.01,0.55,0.25
PVH,Consumer Discretionary,111.74221691168458,14.89,23.11,2.36,1.1
PWR,Industrials,104.59475012255947,29.22,35.35,2.04,1.54
QCOM,Information Technology,159.5691235953324,14.01,14.63,2.97,5.17
DGX,Health Care,152.70866654199762,24.6,11.81,2.5,1.25
RL,Consumer Discretionary,173.8902461836471,14.28,8.99,2.22,1.19
RJF,Financials,100.19591663473501,12.82,4.28,1.78,0.98
RTX,Industrials,125.52441275231803,13.2,13.34,2.6,1.0
O,Real Estate,146.15765009504113,9.22,0.0,0.92,4.79
REG,Real Estate,81.09322267273005,14.22,0.0,1.42,5.96
REGN,Health Care,131.85674182655958,0.0,179.42,4.14,12.77
RF,Financials,32.53686340760768,9.8,4.29,0.6,1.12
RSG,Industrials,126.10545288036006,14.73,11.47,3.18,1.36
RMD,Health Care,131.0024495261641,57.2,165.06,3.5,4.69
RHI,Industrials,135.72200132570507,11.49,10.39,3.36,0.74
ROK,Industrials,95.44185178468368,6.66,3.94,4.22,1.54
ROL,Industrials,135.9005966672991,24.73,22.28,6.82,1.8
ROP,Industrials,111.72860322692753,21.51,17.19,2.87,2.56
ROST,Consumer Discretionary,219.48857975678337,12.7,38.89,3.46,0.56
RCL,Consumer Discretionary,79.62491782898098,12.47,0.0,1.1,1.22
CRM,Information Technology,132.62780468766883,626.33,57.66,16.59,10.1
SBAC,Real Estate,132.9107105094462,0.0,36.85,10.77,8.58
SLB,Energy,89.56501733666393,17.47,27.02,5.88,3.9
STX,Information Technology,98.08441972475734,5.52,6.11,1.54,0.69
SEE,Materials,130.88790904006518,9.57,20.26,1.44,0.74
SRE,Utilities,126.44957415814304,9.96,57.58,1.3,0.96
SHW,Materials,147.2312007774463,10.31,8.96,3.33,0.8
SPG,Real Estate,136.461826050049,24.24,19.61,2.97,2.91
SWKS,Information Technology,219.77362986036363,18.78,18.23,1.54,1.64
SLG,Real Estate,77.01697486108561,5.89,0.0,0.83,4.02
SNA,Industrials,122.75056990943393,11.72,11.15,1.62,0.75
SO,Utilities,125.23201217291799,9.08,0.0,1.18,1.03
LUV,Industrials,123.90546832518861,13.33,5.75,1.2,0.89
SWK,Industrials,149.46272788233043,8.94,6.35,1.67,0.69
SBUX,Consumer Discretionary,148.48209886704507,19.22,31.98,5.52,1.33
STT,Financials,71.98844524777797,18.54,9.58,2.21,1.97
STE,Health Care,138.53139006198367,18.49,15.05,1.91,1.21
SYK,Health Care,90.12659015603943,26.01,31.47,4.85,4.41
SIVB,Financials,108.85588372223329,15.0,11.49,2.43,2.81
SNPS,Information Technology,102.61440607737518,32.11,10.26,2.88,3.48
SYY,Consumer Staples,127.69089589323725,12.2,18.3,3.77,0.35
TROW,Financials,120.59993681130369,17.71,19.37,4.05,5.31
TTWO,Communication Services,70.474767621587,0.0,305.86,0.0,1.95
TPR,Consumer Discretionary,158.52496620864426,11.68,11.63,5.0,2.87
TGT,Consumer Discretionary,107.0514553495045,12.87,82.95,2.29,0.6
FTI,Energy,141.58190627457827,22.23,14.41,6.37,1.85
TDY,Industrials,94.7262169826013,19.61,15.18,3.54,1.19
TFX,Health Care,118.76667867361867,14.07,10.59,1.55,1.3
TER,Information Technology,136.57569504536409,23.11,36.17,1.37,1.65
TXN,Information Technology,106.8994009857279,13.18,9.31,3.28,2.57
TXT,Industrials,36.084631598662334,18.6,24.58,4.77,1.37
TMO,Health Care,108.89964547932766,32.37,18.5,1.59,2.52
TJX,Consumer Discretionary,175.01609829378864,16.97,14.18,4.99,0.65
TSCO,Consumer Discretionary,194.14386073581147,13.2,17.67,2.11,0.48
TDG,Industrials,162.25652001268378,10.28,7.94,1.82,1.54
TRV,Financials,128.84499532581518,5.65,4.97,0.92,1.01
TRMB,Information Technology,109.74428987839171,31.83,21.65,3.32,3.07
TFC,Financials,123.65809539968522,6.14,12.47,0.84,1.0
TYL,Information Technology,203.41431914464968,30.69,17.61,3.63,2.44
TSN,Consumer Staples,108.36930341587822,18.74,16.43,0.97,0.18
UDR,Real Estate,132.65705012564604,7.14,0.0,1.55,2.9
USB,Financials,99.91716555315415,9.14,13.71,1.86,1.95
UAA,Consumer Discretionary,82.24791834842104,40.26,0.0,7.34,3.48
UNP,Industrials,138.99732078968486,13.97,91.97,0.81,1.6
UAL,Industrials,51.1941746099381,14.76,3.5,1.61,0.24
UNH,Health Care,69.13890262338677,14.47,13.38,3.07,0.89
UPS,Industrials,113.80411433284743,125.34,0.0,4.07,1.01
URI,Industrials,70.36545645143939,5.72,9.49,0.79,0.56
UHS,Health Care,158.94000603077419,15.14,61.79,1.67,0.55
UNM,Financials,111.7167974354504,9.15,3.55,0.78,0.59
VLO,Energy,33.038002249104686,4.86,8.14,1.25,0.28
VAR,Health Care,118.27890204107977,24.46,22.16,6.72,3.31
VTR,Real Estate,142.85464097238375,9.06,6.55,1.55,3.44
VRSN,Information Technology,84.86252175173293,0.0,22.42,4.77,7.52
VZ,"Communication Services
",112.05307578046164,11.26,6.67,1.22,0.66
VRTX,Health Care,242.92085172393035,0.0,0.0,11.38,14.95
VFC,Consumer Discretionary,151.11628635442725,13.1,0.0,0.0,1.06
VIAC,Communication Services,75.90823609383534,11.95,8.7,0.65,1.08
VTRS,Health Care,172.62480191682155,0.0,63.28,1.26,1.59
VNO,Real Estate,113.55654532871277,12.72,37.36,1.15,2.72
VMC,Materials,93.53173114445934,14.73,21.28,1.93,1.99
WRB,Financials,110.98667806569426,6.34,3.31,1.2,0.85
WAB,Industrials,156.49562405987908,14.83,13.08,2.6,1.19
WMT,Consumer Staples,150.36487351309083,10.75,26.45,2.11,0.37
WBA,Consumer Staples,144.04243117767263,13.03,64.51,2.33,0.49
DIS,Communication Services,135.05879967947527,13.17,22.6,1.74,1.55
WM,Industrials,146.6976780907344,9.97,9.36,1.9,0.87
WAT,Health Care,103.19599647196385,30.3,26.13,13.62,5.5
