code,industry,stockratio,initialPE,initialFCF,initialPB,initialDE
HUM,Health Care,115.69,20.46,75.34,2.47,1.39
HBAN,Financials,123.88,11.45,8.06,1.12,9.77
HII,Industrials,148.24,14.13,8.07,3.71,3.04
IEX,Industrials,120.39,19.7,17.56,3.79,0.94
IDXX,Health Care,162.0,35.57,49.17,-78.13,-18.56
INFO,Industrials,119.98,57.38,12.88,0.0,0.0
ITW,Industrials,135.99,16.05,14.9,5.73,2.01
ILMN,Health Care,67.2,61.92,44.48,15.22,1.0
INCY,Health Care,93.14,0.0,320.38,118.27,4.89
INTC,Information Technology,109.58,12.8,12.54,2.32,0.66
ICE,Financials,112.32,21.11,26.0,1.93,4.26
IBM,Information Technology,126.12,8.12,7.64,7.32,6.66
IP,Materials,147.99,13.79,11.5,3.26,6.81
IPG,Communication Services,103.93,17.5,15.17,3.86,5.29
IFF,Materials,101.14,21.2,23.41,5.38,1.32
INTU,Information Technology,113.76,62.29,21.59,23.35,2.65
ISRG,Health Care,116.97,35.19,28.54,4.73,0.14
IVZ,Financials,94.84,11.72,11.04,1.27,1.88
IPGP,Information Technology,111.53,19.6,24.61,3.74,0.15
IQV,Health Care,111.58,22.22,21.67,-24.4,-12.69
IRM,Real Estate,128.4,32.9,15.95,7.63,11.01
JKHY,Information Technology,116.08,26.68,24.62,6.36,0.87
J,Industrials,136.87,20.31,16.85,1.14,0.74
JBHT,Industrials,134.78,19.07,25.71,6.11,1.79
SJM,Consumer Staples,115.07,29.96,11.24,1.67,1.31
JNJ,Health Care,116.17,16.47,13.0,3.5,0.88
JCI,Industrials,143.07,22.8,106.32,2.61,1.83
JPM,Financials,135.54,9.51,2.93,0.84,8.5
JNPR,Information Technology,104.83,15.27,14.24,2.06,0.88
KSU,Industrials,116.2,15.93,94.4,1.8,0.97
K,Consumer Staples,105.54,35.48,19.2,10.05,6.13
KEY,Financials,143.15,10.71,8.9,0.87,7.84
KEYS,Information Technology,99.88,11.06,19.85,4.32,1.69
KMB,Consumer Staples,92.99,39.4,31.87,981.44,370.05
KIM,Real Estate,99.36,10.24,11.57,1.63,1.19
KMI,Energy,143.79,74.02,0.0,0.75,1.38
KLAC,Information Technology,117.84,18.35,12.03,26.1,11.51
KR,Consumer Staples,83.57,16.78,23.36,5.23,4.11
LB,Consumer Discretionary,79.93,18.82,19.48,-33.01,-13.01
LH,Health Care,104.6,29.09,17.1,2.53,1.85
LRCX,Information Technology,136.17,15.06,12.12,2.02,0.7
LVS,Consumer Discretionary,129.72,14.3,14.59,3.19,1.48
LEG,Consumer Discretionary,120.44,15.51,19.75,4.37,1.7
LDOS,Information Technology,127.41,10.92,6.16,2.53,2.16
LEN,Consumer Discretionary,83.98,14.43,0.0,1.77,1.42
LLY,Health Care,90.29,33.14,40.09,5.67,1.44
LNC,Financials,136.03,9.75,5.0,0.79,17.5
LIN,Materials,118.35,17.26,23.17,5.5,2.82
LYV,Communication Services,109.06,0.0,29.86,3.44,3.26
LKQ,Consumer Discretionary,104.2,21.47,24.37,2.91,0.81
LMT,Industrials,119.25,16.63,14.41,18.65,14.92
L,Financials,123.61,55.74,6.69,0.56,2.33
LOW,Consumer Discretionary,92.48,21.23,16.81,7.34,3.02
LUMN,Communication Services,102.99,9.83,3.75,0.6,2.39
LYB,Materials,103.63,6.17,6.25,3.96,2.46
MTB,Financials,133.09,14.82,8.85,1.05,6.59
MRO,Energy,140.96,0.0,0.0,0.43,0.74
MPC,Energy,101.44,8.22,11.14,1.15,1.19
MKTX,Financials,133.66,42.35,37.1,10.3,0.12
MAR,Consumer Discretionary,126.3,20.05,9.15,-4.51,-2.69
MMC,Financials,125.43,17.07,17.36,4.01,1.76
MLM,Materials,164.87,30.43,33.35,2.07,0.71
MAS,Industrials,113.95,26.07,13.54,151.54,96.66
MA,Information Technology,107.7,28.17,28.54,17.37,1.68
MKC,Consumer Staples,108.86,25.13,21.93,5.92,1.65
MXIM,Information Technology,105.76,54.48,13.57,4.36,0.83
MCD,Consumer Discretionary,106.98,21.58,19.86,13.28,4.35
MCK,Health Care,72.22,22.45,21.05,4.8,5.15
MDT,Health Care,114.01,34.93,16.52,1.79,1.01
MRK,Health Care,115.9,29.13,11.47,2.82,1.27
MET,Financials,116.81,7.79,2.85,0.57,11.83
MTD,Health Care,124.33,27.09,26.76,15.83,2.38
MGM,Consumer Discretionary,127.83,0.0,0.0,1.56,2.25
MCHP,Information Technology,142.7,26.01,14.9,4.06,1.56
MU,Information Technology,123.5,8.8,44.02,1.24,0.84
MSFT,Information Technology,115.9,36.29,16.61,5.24,1.35
MAA,Real Estate,112.41,17.16,17.37,1.81,1.17
MHK,Consumer Discretionary,106.21,22.85,32.96,2.88,1.04
TAP,Consumer Staples,106.12,43.98,34.95,2.22,0.74
MDLZ,Consumer Staples,101.28,9.12,29.15,2.28,1.24
MNST,Consumer Staples,89.96,53.2,58.78,6.28,0.16
MCO,Financials,96.11,20.52,17.38,-55.82,-16.32
MS,Financials,137.06,9.65,0.0,0.71,9.34
MOS,Materials,111.5,9.12,8.72,0.93,0.82
MSI,Information Technology,124.81,19.69,14.79,-112.96,-87.94
MSCI,Financials,111.42,33.24,27.52,7.63,2.49
NDAQ,Financials,118.35,21.19,15.27,1.55,1.12
NTAP,Information Technology,103.29,23.07,11.64,2.89,1.89
NFLX,Communication Services,109.03,402.32,0.0,22.01,3.59
NWL,Consumer Discretionary,103.74,28.36,26.23,5.39,2.98
NEM,Materials,191.53,38.43,10.22,0.61,0.76
NWSA,Communication Services,87.82,0.0,17.11,0.61,0.24
NWS,Communication Services,86.47,0.0,17.91,0.63,0.24
NEE,Utilities,119.26,15.15,0.0,1.83,2.57
NLSN,Industrials,92.92,25.53,13.48,3.08,2.31
NKE,Consumer Discretionary,77.09,30.35,35.67,7.94,0.69
NI,Utilities,117.56,18.28,55.37,1.38,3.55
NSC,Industrials,132.4,14.85,39.34,1.85,1.8
NTRS,Financials,127.01,16.02,8.62,1.68,12.41
NOC,Industrials,126.12,16.79,19.77,5.73,3.42
NLOK,Information Technology,144.74,10.19,8.34,1.12,1.21
NCLH,Consumer Discretionary,73.11,31.68,0.0,3.53,2.24
NOV,Energy,114.76,0.0,13.67,0.73,0.58
NRG,Utilities,107.21,0.0,10.33,0.63,5.05
NUE,Materials,153.2,31.02,6.11,1.41,0.83
